date,startup,vertical,subvertical,city,investors,rounds,amount
2016-10-26,Wooplr,Consumer Internet,Fashion Discovery App,Bengaluru,Astarc Ventures,Seed Funding,0.0
2016-10-26,The Kettlery,ECommerce,Online Tea Etailer,Ahmedabad,Hooting Starts Sports Llp,Private Equity,8.25
2016-10-26,The Kettlery,ECommerce,Online Tea Etailer,Ahmedabad,Franchise India,Private Equity,8.25
2016-10-27,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bengaluru,Eureka Forbes Ltd,Private Equity,5.775
2016-10-27,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bengaluru,Shapoorji Pallonji,Private Equity,5.775
2016-10-27,FR8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,8.01075
2016-10-27,Ather Energy,Technology,Electric Vehicle Manufacturer,Bengaluru,Hero Motocorp,Private Equity,222.75
2016-10-28,Pikkol,Logistics,Relocation Service provider,Bengaluru,Ajay Nanavati,Seed Funding,0.0
2016-10-28,Pikkol,Logistics,Relocation Service provider,Bengaluru,Afsal Salu,Seed Funding,0.0
2016-10-30,Impact Analytics,Technology,Business intelligence and data science Startup,Bengaluru,Michael Herzig,Private Equity,6.1875
2016-10-30,Impact Analytics,Technology,Business intelligence and data science Startup,Bengaluru,Ashish Lakhanpal,Private Equity,6.1875
2016-10-31,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh,Seed Funding,8.25
2016-09-01,Renowala,ECommerce,Home Improvement Marketplace,Hyderabad,Pradeep Dhobale,Seed Funding,0.0
2016-09-01,Lucideus,Technology,IT Risk Assessment and Digital Security Services provider,Delhi,Amit Choudhary,Seed Funding,0.0
2016-09-04,Trackbizz,Technology,Field Force Automation System,Kochi,Grasshoppers,Private Equity,0.0
2016-09-05,Social Quotient,Technology,Platform for Social Causes,Mumbai,Anita Dongre,Seed Funding,0.0
2016-09-05,Social Quotient,Technology,Platform for Social Causes,Mumbai,Yash Dongre,Seed Funding,0.0
2016-09-05,Social Quotient,Technology,Platform for Social Causes,Mumbai,Milind Sarwate,Seed Funding,0.0
2016-09-05,Stalk Buy Love,ECommerce,Fashion Apparel eTailer,Delhi,William Bissel,Seed Funding,0.0
2016-09-06,eShakti,ECommerce,Women’s Fashion Apparel eTailer,Chennai,Infina Finance Pvt. Ltd,Private Equity,11.1375
2016-09-06,Lenskart,ECommerce,Online Eyewear eTailer,Delhi,Premjiinvest,Private Equity,0.0
2016-09-07,Zilingo,ECommerce,Online Fashion Retailer,Bengaluru,Venturra Capital,Private Equity,66.0
2016-09-07,Zilingo,ECommerce,Online Fashion Retailer,Bengaluru,Susquehanna International Group.\\Xc2\\Xa0 Wavemaker Partners,Private Equity,66.0
2016-09-07,Prozo,ECommerce,Study Material Marketplace,Gurgaon,Sailender Solanki,Seed Funding,2.59875
2016-09-07,Prozo,ECommerce,Study Material Marketplace,Gurgaon,Rajiv Solanki,Seed Funding,2.59875
2016-09-08,TopRankers,Education,Online Test Preparation platform,Bengaluru,Careernet Consulting Pvt. Ltd,Seed Funding,5.5275
2016-09-08,TopRankers,Education,Online Test Preparation platform,Bengaluru,Ideation Initiative Pvt. Ltd,Seed Funding,5.5275
2016-09-08,BuildTraders,ECommerce,Online Construction Materials Marketplace,Bengaluru,Idein Ventures,Seed Funding,1.65
2016-09-09,Byju’s,Education,Online Learning App,Bengaluru,Chan Zuckerberg Initiative,Private Equity,412.5
2016-09-09,Byju’s,Education,Online Learning App,Bengaluru,Lightspeed Ventures,Private Equity,412.5
2016-09-10,Freshboxx,ECommerce,Fruits & vegetable eTailer,Hubli,Ravi Linganuri,Seed Funding,0.0
2016-09-10,CureInstant,Consumer Internet,Social Health Networking Platform,Delhi,Dr. Rameshwar Kumar,Seed Funding,1.2375
2016-09-10,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,Havya Sharma,Seed Funding,3.7125
2016-09-10,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,Amit Nagar,Seed Funding,3.7125
2016-09-10,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,Delhi,Harinder Takhar,Seed Funding,0.0
2016-09-10,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,Delhi,Zain Raj,Seed Funding,0.0
2016-09-10,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,Delhi,Dr. Prasad Kaipa,Seed Funding,0.0
2016-09-10,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,Delhi,Abaran Deep,Seed Funding,0.0
2016-09-10,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,Delhi,Aseem Sood,Seed Funding,0.0
2016-09-10,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,Delhi,Mustafa Patni,Seed Funding,0.0
